PDB_ID	Receptor_Uniprot_AC	Receptor_Gene_name	Receptor_Uniprot_ID	Receptor_Chain	Gprotein_Uniprot_AC	Gprotein_Gene_name	Gprotein_Uniprot_ID	Gprotein_chain	Receptor_organism	Gprotein_organism	Contacts	Receptor_residues	Gprotein_residues	Receptor_coverage	Gprotein_coverage	Resolution
7x9c	P50391	NPY4R	NPY4R_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	58	302	217	0.805333333	0.61299435	3.0
6oik	P08172	CHRM2	ACM2_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	51	278	217	0.596566524	0.61299435	3.6
7f8v	P32239	CCKBR	GASR_HUMAN	R	P04899	GNAI2	GNAI2_HUMAN	A	HUMAN	HUMAN	50	275	217	0.615212528	0.611267606	3.3
7f1s	P51681	CCR5	CCR5_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	66	276	216	0.784090909	0.610169492	2.8
7ejx	Q9GZN0	GPR88	GPR88_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	51	229	216	0.596354167	0.610169492	2.4
7mbx	P32238	CCKAR	CCKAR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	58	292	240	0.682242991	0.609137056	1.95
6wzg	P47872	SCTR	SCTR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	45	379	240	0.861363636	0.609137056	2.3
7vh0	P49286	MTNR1B	MTR1B_HUMAN	A	P63096	GNAI1	GNAI1_HUMAN	B	HUMAN	HUMAN	52	273	215	0.754143646	0.607344633	3.46
7ej8	P08913	ADRA2A	ADA2A_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	42	263	215	0.565591398	0.607344633	3.0
6xbm	Q99835	SMO	SMO_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	76	331	215	0.420584498	0.607344633	3.14
7d77	Q86Y34	ADGRG3	AGRG3_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	12	265	215	0.482695811	0.607344633	2.9
6vn7	P32241	VIPR1	VIPR1_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	40	263	239	0.575492341	0.606598985	3.2
7wvx	P25090	FPR2	FPR2_HUMAN	R	P04899	GNAI2	GNAI2_HUMAN	A	HUMAN	HUMAN	66	299	215	0.851851852	0.605633803	2.8
6k41	P18089	ADRA2B	ADA2B_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	60	243	213	0.54	0.601694915	2.9
7vqx	P41587	VIPR2	VIPR2_HUMAN	R	P04896	GNAS	GNAS2_BOVIN	A	HUMAN	BOVIN	33	361	237	0.824200913	0.601522843	2.74
6li3	Q9Y2T5	GPR52	GPR52_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	56	284	237	0.786703601	0.601522843	3.32
7jvp	P21728	DRD1	DRD1_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	88	280	237	0.627802691	0.601522843	2.9
6qno	P02699	RHO	OPSD_BOVIN	R	P63096	GNAI1	GNAI1_HUMAN	A	BOVIN	HUMAN	59	334	212	0.959770115	0.598870056	4.38
7evw	O75084	FZD7	FZD7_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	19	340	234	0.592334495	0.593908629	3.22
6wwz	P51684	CCR6	CCR6_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	63	310	210	0.828877005	0.593220339	3.34
7ld3	P30542	ADORA1	AA1R_HUMAN	R	P04899	GNAI2	GNAI2_HUMAN	A	HUMAN	HUMAN	50	288	210	0.883435583	0.591549296	3.2
6g79	P28222	HTR1B	5HT1B_HUMAN	S	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	51	262	209	0.671794872	0.59039548	3.78
7cfn	Q8TDU6	GPBAR1	GPBAR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	74	274	232	0.83030303	0.588832487	3.0
7dty	P48546	GIPR	GIPR_HUMAN	R	P04896	GNAS	GNAS2_BOVIN	A	HUMAN	BOVIN	42	367	232	0.787553648	0.588832487	2.98
7dh5	O02662	ADRB3	ADRB3_CANLF	R	P63092	GNAS	GNAS2_HUMAN	A	CANLF	HUMAN	74	276	231	0.681481481	0.586294416	3.16
6oya	P02699	RHO	OPSD_BOVIN	R	P04695	GNAT1	GNAT1_BOVIN	A	BOVIN	BOVIN	59	326	205	0.936781609	0.585714286	3.3
7mts	Q14416	GRM2	GRM2_HUMAN	A	P63096	GNAI1	GNAI1_HUMAN	C	HUMAN	HUMAN	48	783	207	0.89793578	0.584745763	3.2
7f16	P49190	PTH2R	PTH2R_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	46	376	230	0.683636364	0.583756345	2.8
7f8w	P32239	CCKBR	GASR_HUMAN	R	P50148	GNAQ	GNAQ_HUMAN	A	HUMAN	HUMAN	55	275	208	0.615212528	0.579387187	3.1
7cx2	P43116	PTGER2	PE2R2_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	43	266	228	0.74301676	0.578680203	2.8
7tyf	P30988	CALCR	CALCR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	47	367	228	0.774261603	0.578680203	2.2
7cz5	Q02643	GHRHR	GHRHR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	49	269	228	0.635933806	0.578680203	2.6
7d7m	P35408	PTGER4	PE2R4_HUMAN	A	P63092	GNAS	GNAS2_HUMAN	D	HUMAN	HUMAN	58	285	228	0.584016393	0.578680203	3.3
6gdg	P29274	ADORA2A	AA2AR_HUMAN	A	P63092	GNAS	GNAS2_HUMAN	D	HUMAN	HUMAN	63	263	225	0.638349515	0.57106599	4.11
6nbf	Q03431	PTH1R	PTH1R_HUMAN	R	P04896	GNAS	GNAS2_BOVIN	A	HUMAN	BOVIN	38	368	224	0.620573356	0.568527919	3.0
6pb1	Q13324	CRHR2	CRFR2_HUMAN	P	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	39	281	224	0.683698297	0.568527919	2.8
7d68	O95838	GLP2R	GLP2R_HUMAN	R	P04896	GNAS	GNAS2_BOVIN	A	HUMAN	BOVIN	40	292	223	0.528028933	0.565989848	3.0
6wpw	P47871	GCGR	GLR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	C	HUMAN	HUMAN	57	395	222	0.828092243	0.563451777	3.1
7ezm	P32238	CCKAR	CCKAR_HUMAN	D	P50148	GNAQ	GNAQ_HUMAN	A	HUMAN	HUMAN	85	304	200	0.710280374	0.557103064	2.9
7dfl	P35367	HRH1	HRH1_HUMAN	R	P50148	GNAQ	GNAQ_HUMAN	A	HUMAN	HUMAN	51	275	198	0.564681725	0.551532033	3.3
6oij	P11229	CHRM1	ACM1_HUMAN	R	P29992	GNA11	GNA11_HUMAN	A	HUMAN	HUMAN	76	293	197	0.636956522	0.548746518	3.3
7dw9	P30518	AVPR2	V2R_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	45	278	216	0.749326146	0.54822335	2.6
7wuq	Q8CJ12	ADGRG2	AGRG2_MOUSE	R	P63092	GNAS	GNAS2_HUMAN	A	MOUSE	HUMAN	72	278	215	0.275520317	0.545685279	2.9
7f4h	Q01726	MC1R	MSHR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	72	267	214	0.842271293	0.543147208	2.7
7vuh	Q6DWJ6	GPR139	GP139_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	53	282	213	0.798866856	0.540609137	3.22
6fuf	P02699	RHO	OPSD_BOVIN	A	P09471	GNAO1	GNAO_HUMAN	B	BOVIN	HUMAN	59	316	181	0.908045977	0.511299435	3.02
7jjo	P07700	ADRB1	ADRB1_MELGA	R	P04896	GNAS	GNAS2_BOVIN	A	MELGA	BOVIN	48	279	200	0.577639752	0.507614213	2.6
6p9y	P41586	ADCYAP1R1	PACR_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	53	258	194	0.551282051	0.492385787	3.01
6p9x	P34998	CRHR1	CRFR1_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	47	270	192	0.608108108	0.487309645	2.91
6uva	Q16602	CALCRL	CALRL_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	42	344	190	0.746203905	0.482233503	2.3
7piu	P32245	MC4R	MC4R_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	67	259	189	0.780120482	0.479695431	2.58
7wu5	Q5T601	ADGRF1	AGRF1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	65	286	163	0.314285714	0.460451977	3.0
7w2z	Q92847	GHSR	GHSR_HUMAN	R	P09471	GNAO1	GNAO_HUMAN	A	HUMAN	HUMAN	49	301	160	0.822404372	0.451977401	2.8
7p02	P25103	TACR1	NK1R_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	56	287	174	0.705159705	0.441624365	2.87
